MergeSort QuickSort TimSort OESM Cook_Kim LIS LIS_treap BothAlgo LIS_small BothAlgo_small 
1642 1642 1642 1642 1642 1642 1642 1642 1642 1642 
1680 1680 1680 1680 1680 1680 1680 1680 1680 1680 
1712 1712 1712 1712 1712 1712 1712 1712 1712 1712 
1704 1704 1704 1704 1704 1704 1704 1704 1704 1704 
1733 1733 1733 1733 1733 1733 1733 1733 1733 1733 
1748 1748 1748 1748 1748 1748 1748 1748 1748 1748 
1784 1784 1784 1784 1784 1784 1784 1784 1784 1784 
1803 1803 1803 1803 1803 1803 1803 1803 1803 1803 
1817 1817 1817 1817 1817 1817 1817 1817 1817 1817 
1861 1861 1861 1861 1861 1861 1861 1861 1861 1861 
1869 1869 1869 1869 1869 1869 1869 1869 1869 1869 
1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 
1934 1934 1934 1934 1934 1934 1934 1934 1934 1934 
1979 1979 1979 1979 1979 1979 1979 1979 1979 1979 
1971 1971 1971 1971 1971 1971 1971 1971 1971 1971 
2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 
2027 2027 2027 2027 2027 2027 2027 2027 2027 2027 
2026 2026 2026 2026 2026 2026 2026 2026 2026 2026 
2023 2023 2023 2023 2023 2023 2023 2023 2023 2023 
2036 2036 2036 2036 2036 2036 2036 2036 2036 2036 
2069 2069 2069 2069 2069 2069 2069 2069 2069 2069 
2060 2060 2060 2060 2060 2060 2060 2060 2060 2060 
2055 2055 2055 2055 2055 2055 2055 2055 2055 2055 
2091 2091 2091 2091 2091 2091 2091 2091 2091 2091 
2105 2105 2105 2105 2105 2105 2105 2105 2105 2105 
2121 2121 2121 2121 2121 2121 2121 2121 2121 2121 
2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 
2114 2114 2114 2114 2114 2114 2114 2114 2114 2114 
2131 2131 2131 2131 2131 2131 2131 2131 2131 2131 
2126 2126 2126 2126 2126 2126 2126 2126 2126 2126 
2168 2168 2168 2168 2168 2168 2168 2168 2168 2168 
2116 2116 2116 2116 2116 2116 2116 2116 2116 2116 
2153 2153 2153 2153 2153 2153 2153 2153 2153 2153 
2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 
2213 2213 2213 2213 2213 2213 2213 2213 2213 2213 
2215 2215 2215 2215 2215 2215 2215 2215 2215 2215 
2198 2198 2198 2198 2198 2198 2198 2198 2198 2198 
2222 2222 2222 2222 2222 2222 2222 2222 2222 2222 
2216 2216 2216 2216 2216 2216 2216 2216 2216 2216 
2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 

262 262 262 262 262 262 262 262 262 262 
1040 1040 1040 1040 1040 1040 1040 1040 1040 1040 
1076 1076 1076 1076 1076 1076 1076 1076 1076 1076 
1206 1206 1206 1206 1206 1206 1206 1206 1206 1206 
1302 1302 1302 1302 1302 1302 1302 1302 1302 1302 
1262 1262 1262 1262 1262 1262 1262 1262 1262 1262 
1305 1305 1305 1305 1305 1305 1305 1305 1305 1305 
1337 1337 1337 1337 1337 1337 1337 1337 1337 1337 
1362 1362 1362 1362 1362 1362 1362 1362 1362 1362 
1375 1375 1375 1375 1375 1375 1375 1375 1375 1375 
1354 1354 1354 1354 1354 1354 1354 1354 1354 1354 
1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 
1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 
1456 1456 1456 1456 1456 1456 1456 1456 1456 1456 
1476 1476 1476 1476 1476 1476 1476 1476 1476 1476 
1470 1470 1470 1470 1470 1470 1470 1470 1470 1470 
1474 1474 1474 1474 1474 1474 1474 1474 1474 1474 
1507 1507 1507 1507 1507 1507 1507 1507 1507 1507 
1495 1495 1495 1495 1495 1495 1495 1495 1495 1495 
1527 1527 1527 1527 1527 1527 1527 1527 1527 1527 
1520 1520 1520 1520 1520 1520 1520 1520 1520 1520 
1544 1544 1544 1544 1544 1544 1544 1544 1544 1544 
1496 1496 1496 1496 1496 1496 1496 1496 1496 1496 
1525 1525 1525 1525 1525 1525 1525 1525 1525 1525 
1544 1544 1544 1544 1544 1544 1544 1544 1544 1544 
1544 1544 1544 1544 1544 1544 1544 1544 1544 1544 
1541 1541 1541 1541 1541 1541 1541 1541 1541 1541 
1532 1532 1532 1532 1532 1532 1532 1532 1532 1532 
1567 1567 1567 1567 1567 1567 1567 1567 1567 1567 
1554 1554 1554 1554 1554 1554 1554 1554 1554 1554 
1548 1548 1548 1548 1548 1548 1548 1548 1548 1548 
1585 1585 1585 1585 1585 1585 1585 1585 1585 1585 
1551 1551 1551 1551 1551 1551 1551 1551 1551 1551 
1581 1581 1581 1581 1581 1581 1581 1581 1581 1581 
1600 1600 1600 1600 1600 1600 1600 1600 1600 1600 
1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 
1564 1564 1564 1564 1564 1564 1564 1564 1564 1564 
1565 1565 1565 1565 1565 1565 1565 1565 1565 1565 
1555 1555 1555 1555 1555 1555 1555 1555 1555 1555 
1574 1574 1574 1574 1574 1574 1574 1574 1574 1574 
1594 1594 1594 1594 1594 1594 1594 1594 1594 1594 
1597 1597 1597 1597 1597 1597 1597 1597 1597 1597 
1576 1576 1576 1576 1576 1576 1576 1576 1576 1576 
1591 1591 1591 1591 1591 1591 1591 1591 1591 1591 
1594 1594 1594 1594 1594 1594 1594 1594 1594 1594 
1614 1614 1614 1614 1614 1614 1614 1614 1614 1614 
1609 1609 1609 1609 1609 1609 1609 1609 1609 1609 
1606 1606 1606 1606 1606 1606 1606 1606 1606 1606 
1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 
1644 1644 1644 1644 1644 1644 1644 1644 1644 1644 
1640 1640 1640 1640 1640 1640 1640 1640 1640 1640 
1604 1604 1604 1604 1604 1604 1604 1604 1604 1604 
1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 
1642 1642 1642 1642 1642 1642 1642 1642 1642 1642 
1649 1649 1649 1649 1649 1649 1649 1649 1649 1649 
1646 1646 1646 1646 1646 1646 1646 1646 1646 1646 
1640 1640 1640 1640 1640 1640 1640 1640 1640 1640 
1651 1651 1651 1651 1651 1651 1651 1651 1651 1651 
1643 1643 1643 1643 1643 1643 1643 1643 1643 1643 
1621 1621 1621 1621 1621 1621 1621 1621 1621 1621 
1627 1627 1627 1627 1627 1627 1627 1627 1627 1627 

262 262 262 262 262 262 262 262 262 262 
744 744 744 744 744 744 744 744 744 744 
862 862 862 862 862 862 862 862 862 862 
940 940 940 940 940 940 940 940 940 940 
1030 1030 1030 1030 1030 1030 1030 1030 1030 1030 
1159 1159 1159 1159 1159 1159 1159 1159 1159 1159 
1231 1231 1231 1231 1231 1231 1231 1231 1231 1231 
1238 1238 1238 1238 1238 1238 1238 1238 1238 1238 
1307 1307 1307 1307 1307 1307 1307 1307 1307 1307 
1438 1438 1438 1438 1438 1438 1438 1438 1438 1438 
1523 1523 1523 1523 1523 1523 1523 1523 1523 1523 
1596 1596 1596 1596 1596 1596 1596 1596 1596 1596 
1613 1613 1613 1613 1613 1613 1613 1613 1613 1613 
1549 1549 1549 1549 1549 1549 1549 1549 1549 1549 
1643 1643 1643 1643 1643 1643 1643 1643 1643 1643 
1752 1752 1752 1752 1752 1752 1752 1752 1752 1752 
1779 1779 1779 1779 1779 1779 1779 1779 1779 1779 
1826 1826 1826 1826 1826 1826 1826 1826 1826 1826 
1883 1883 1883 1883 1883 1883 1883 1883 1883 1883 
1952 1952 1952 1952 1952 1952 1952 1952 1952 1952 
2004 2004 2004 2004 2004 2004 2004 2004 2004 2004 
1977 1977 1977 1977 1977 1977 1977 1977 1977 1977 
1932 1932 1932 1932 1932 1932 1932 1932 1932 1932 
1957 1957 1957 1957 1957 1957 1957 1957 1957 1957 
2054 2054 2054 2054 2054 2054 2054 2054 2054 2054 
2014 2014 2014 2014 2014 2014 2014 2014 2014 2014 
2181 2181 2181 2181 2181 2181 2181 2181 2181 2181 
2182 2182 2182 2182 2182 2182 2182 2182 2182 2182 
2201 2201 2201 2201 2201 2201 2201 2201 2201 2201 
2282 2282 2282 2282 2282 2282 2282 2282 2282 2282 
2309 2309 2309 2309 2309 2309 2309 2309 2309 2309 
2278 2278 2278 2278 2278 2278 2278 2278 2278 2278 
2342 2342 2342 2342 2342 2342 2342 2342 2342 2342 
2336 2336 2336 2336 2336 2336 2336 2336 2336 2336 
2441 2441 2441 2441 2441 2441 2441 2441 2441 2441 
2358 2358 2358 2358 2358 2358 2358 2358 2358 2358 
2331 2331 2331 2331 2331 2331 2331 2331 2331 2331 
2361 2361 2361 2361 2361 2361 2361 2361 2361 2361 
2541 2541 2541 2541 2541 2541 2541 2541 2541 2541 
2595 2595 2595 2595 2595 2595 2595 2595 2595 2595 
2514 2514 2514 2514 2514 2514 2514 2514 2514 2514 
2484 2484 2484 2484 2484 2484 2484 2484 2484 2484 
2545 2545 2545 2545 2545 2545 2545 2545 2545 2545 
2508 2508 2508 2508 2508 2508 2508 2508 2508 2508 
2603 2603 2603 2603 2603 2603 2603 2603 2603 2603 
2531 2531 2531 2531 2531 2531 2531 2531 2531 2531 
2600 2600 2600 2600 2600 2600 2600 2600 2600 2600 
2633 2633 2633 2633 2633 2633 2633 2633 2633 2633 
2592 2592 2592 2592 2592 2592 2592 2592 2592 2592 
2661 2661 2661 2661 2661 2661 2661 2661 2661 2661 
2609 2609 2609 2609 2609 2609 2609 2609 2609 2609 
2676 2676 2676 2676 2676 2676 2676 2676 2676 2676 
2679 2679 2679 2679 2679 2679 2679 2679 2679 2679 
2761 2761 2761 2761 2761 2761 2761 2761 2761 2761 
2682 2682 2682 2682 2682 2682 2682 2682 2682 2682 
2759 2759 2759 2759 2759 2759 2759 2759 2759 2759 
2780 2780 2780 2780 2780 2780 2780 2780 2780 2780 
2729 2729 2729 2729 2729 2729 2729 2729 2729 2729 
2776 2776 2776 2776 2776 2776 2776 2776 2776 2776 
2778 2778 2778 2778 2778 2778 2778 2778 2778 2778 
2790 2790 2790 2790 2790 2790 2790 2790 2790 2790 

523 523 523 523 523 523 523 523 523 523 
570 570 570 570 570 570 570 570 570 570 
618 618 618 618 618 618 618 618 618 618 
672 672 672 672 672 672 672 672 672 672 
722 722 722 722 722 722 722 722 722 722 
781 781 781 781 781 781 781 781 781 781 
811 811 811 811 811 811 811 811 811 811 
846 846 846 846 846 846 846 846 846 846 
869 869 869 869 869 869 869 869 869 869 
942 942 942 942 942 942 942 942 942 942 
977 977 977 977 977 977 977 977 977 977 
1002 1002 1002 1002 1002 1002 1002 1002 1002 1002 
1032 1032 1032 1032 1032 1032 1032 1032 1032 1032 
1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 
1082 1082 1082 1082 1082 1082 1082 1082 1082 1082 
1108 1108 1108 1108 1108 1108 1108 1108 1108 1108 
1180 1180 1180 1180 1180 1180 1180 1180 1180 1180 
1199 1199 1199 1199 1199 1199 1199 1199 1199 1199 
1193 1193 1193 1193 1193 1193 1193 1193 1193 1193 
1256 1256 1256 1256 1256 1256 1256 1256 1256 1256 
1269 1269 1269 1269 1269 1269 1269 1269 1269 1269 
1263 1263 1263 1263 1263 1263 1263 1263 1263 1263 
1305 1305 1305 1305 1305 1305 1305 1305 1305 1305 
1360 1360 1360 1360 1360 1360 1360 1360 1360 1360 
1330 1330 1330 1330 1330 1330 1330 1330 1330 1330 
1339 1339 1339 1339 1339 1339 1339 1339 1339 1339 
1352 1352 1352 1352 1352 1352 1352 1352 1352 1352 
1335 1335 1335 1335 1335 1335 1335 1335 1335 1335 
1375 1375 1375 1375 1375 1375 1375 1375 1375 1375 
1400 1400 1400 1400 1400 1400 1400 1400 1400 1400 
1465 1465 1465 1465 1465 1465 1465 1465 1465 1465 
1469 1469 1469 1469 1469 1469 1469 1469 1469 1469 
1453 1453 1453 1453 1453 1453 1453 1453 1453 1453 
1478 1478 1478 1478 1478 1478 1478 1478 1478 1478 
1548 1548 1548 1548 1548 1548 1548 1548 1548 1548 
1521 1521 1521 1521 1521 1521 1521 1521 1521 1521 
1528 1528 1528 1528 1528 1528 1528 1528 1528 1528 
1548 1548 1548 1548 1548 1548 1548 1548 1548 1548 
1571 1571 1571 1571 1571 1571 1571 1571 1571 1571 
1587 1587 1587 1587 1587 1587 1587 1587 1587 1587 
1576 1576 1576 1576 1576 1576 1576 1576 1576 1576 
1589 1589 1589 1589 1589 1589 1589 1589 1589 1589 
1572 1572 1572 1572 1572 1572 1572 1572 1572 1572 
1599 1599 1599 1599 1599 1599 1599 1599 1599 1599 
1639 1639 1639 1639 1639 1639 1639 1639 1639 1639 
1629 1629 1629 1629 1629 1629 1629 1629 1629 1629 
1626 1626 1626 1626 1626 1626 1626 1626 1626 1626 
1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 
1731 1731 1731 1731 1731 1731 1731 1731 1731 1731 
1762 1762 1762 1762 1762 1762 1762 1762 1762 1762 
1735 1735 1735 1735 1735 1735 1735 1735 1735 1735 
1721 1721 1721 1721 1721 1721 1721 1721 1721 1721 
1791 1791 1791 1791 1791 1791 1791 1791 1791 1791 
1782 1782 1782 1782 1782 1782 1782 1782 1782 1782 
1810 1810 1810 1810 1810 1810 1810 1810 1810 1810 
1816 1816 1816 1816 1816 1816 1816 1816 1816 1816 
1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 
1849 1849 1849 1849 1849 1849 1849 1849 1849 1849 
1856 1856 1856 1856 1856 1856 1856 1856 1856 1856 
1848 1848 1848 1848 1848 1848 1848 1848 1848 1848 
1835 1835 1835 1835 1835 1835 1835 1835 1835 1835 

523 523 523 523 523 523 523 523 523 523 
648 648 648 648 648 648 648 648 648 648 
713 713 713 713 713 713 713 713 713 713 
842 842 842 842 842 842 842 842 842 842 
895 895 895 895 895 895 895 895 895 895 
1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 
1033 1033 1033 1033 1033 1033 1033 1033 1033 1033 
1088 1088 1088 1088 1088 1088 1088 1088 1088 1088 
1141 1141 1141 1141 1141 1141 1141 1141 1141 1141 
1200 1200 1200 1200 1200 1200 1200 1200 1200 1200 
1287 1287 1287 1287 1287 1287 1287 1287 1287 1287 
1393 1393 1393 1393 1393 1393 1393 1393 1393 1393 
1385 1385 1385 1385 1385 1385 1385 1385 1385 1385 
1487 1487 1487 1487 1487 1487 1487 1487 1487 1487 
1495 1495 1495 1495 1495 1495 1495 1495 1495 1495 
1608 1608 1608 1608 1608 1608 1608 1608 1608 1608 
1761 1761 1761 1761 1761 1761 1761 1761 1761 1761 
1612 1612 1612 1612 1612 1612 1612 1612 1612 1612 
1801 1801 1801 1801 1801 1801 1801 1801 1801 1801 
1759 1759 1759 1759 1759 1759 1759 1759 1759 1759 
1784 1784 1784 1784 1784 1784 1784 1784 1784 1784 
1741 1741 1741 1741 1741 1741 1741 1741 1741 1741 
1806 1806 1806 1806 1806 1806 1806 1806 1806 1806 
1915 1915 1915 1915 1915 1915 1915 1915 1915 1915 
1788 1788 1788 1788 1788 1788 1788 1788 1788 1788 
1854 1854 1854 1854 1854 1854 1854 1854 1854 1854 
1856 1856 1856 1856 1856 1905 1905 1905 1905 1905 
1960 1960 1960 1960 1960 1960 1960 1960 1960 1960 
1907 1907 1907 1907 1907 1907 1907 1907 1907 1907 
1959 1959 1959 1959 1959 1959 1959 1959 1959 1959 
2025 2025 2025 2025 2025 2025 2025 2025 2025 2025 
1982 1982 1982 1982 1982 1982 1982 1982 1982 1982 
2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 
2059 2059 2059 2059 2059 2059 2059 2059 2059 2059 
2182 2182 2182 2182 2182 2182 2182 2182 2182 2182 
2169 2169 2169 2169 2169 2169 2169 2169 2169 2169 
2151 2151 2151 2151 2151 2151 2151 2151 2151 2151 
2315 2315 2315 2315 2315 2315 2315 2315 2315 2315 
2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 
2124 2124 2124 2124 2124 2124 2124 2124 2124 2124 
2148 2148 2148 2148 2148 2148 2148 2148 2148 2148 
2128 2128 2128 2128 2128 2128 2128 2128 2128 2128 
2097 2097 2097 2097 2097 2097 2097 2097 2097 2097 
2303 2303 2303 2303 2303 2303 2303 2303 2303 2303 
2297 2297 2297 2297 2297 2297 2297 2297 2297 2297 
2249 2249 2249 2249 2249 2249 2249 2249 2249 2249 
2260 2260 2260 2260 2260 2260 2260 2260 2260 2260 
2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 
2431 2431 2431 2431 2431 2431 2431 2431 2431 2431 
2297 2297 2297 2297 2297 2297 2297 2297 2297 2297 
2464 2464 2464 2464 2464 2464 2464 2464 2464 2464 
2451 2451 2451 2451 2451 2451 2451 2451 2451 2451 
2406 2406 2406 2406 2406 2406 2406 2406 2406 2406 
2448 2448 2448 2448 2448 2448 2448 2448 2448 2448 
2511 2511 2511 2511 2511 2511 2511 2511 2511 2511 
2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 
2411 2411 2411 2411 2411 2411 2411 2411 2411 2411 
2401 2401 2401 2401 2401 2401 2401 2401 2401 2401 
2525 2525 2525 2525 2525 2525 2525 2525 2525 2525 
2399 2399 2399 2399 2399 2399 2399 2399 2399 2399 

262 262 262 262 262 262 262 262 262 262 
556 556 556 556 556 556 556 556 556 556 
602 602 602 602 602 602 602 602 602 602 
669 669 669 669 669 669 669 669 669 669 
725 725 725 725 725 725 725 725 725 725 
780 780 780 780 780 780 780 780 780 780 
820 820 820 820 820 820 820 820 820 820 
852 852 852 852 852 852 852 852 852 852 
920 920 920 920 920 920 920 920 920 920 
946 946 946 946 946 946 946 946 946 946 
1003 1003 1003 1003 1003 1003 1003 1003 1003 1003 
1029 1029 1029 1029 1029 1029 1029 1029 1029 1029 
1081 1081 1081 1081 1081 1081 1081 1081 1081 1081 
1090 1090 1090 1090 1090 1090 1090 1090 1090 1090 
1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 
1178 1178 1178 1178 1178 1178 1178 1178 1178 1178 
1212 1212 1212 1212 1212 1212 1212 1212 1212 1212 
1244 1244 1244 1244 1244 1244 1244 1244 1244 1244 
1253 1253 1253 1253 1253 1253 1253 1253 1253 1253 
1266 1266 1266 1266 1266 1266 1266 1266 1266 1266 
1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 
1329 1329 1329 1329 1329 1329 1329 1329 1329 1329 
1348 1348 1348 1348 1348 1348 1348 1348 1348 1348 
1360 1360 1360 1360 1360 1360 1360 1360 1360 1360 
1390 1390 1390 1390 1390 1390 1390 1390 1390 1390 
1406 1406 1406 1406 1406 1406 1406 1406 1406 1406 
1456 1456 1456 1456 1456 1456 1456 1456 1456 1456 
1474 1474 1474 1474 1474 1474 1474 1474 1474 1474 
1480 1480 1480 1480 1480 1480 1480 1480 1480 1480 
1504 1504 1504 1504 1504 1504 1504 1504 1504 1504 
1539 1539 1539 1539 1539 1539 1539 1539 1539 1539 
